country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes,permalink
FINLAND,Suomusjärven beachvolleykenttä,,"Opintie 1, 25410",60.375335,23.603845,address,1,sand,,,school,city,512095,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/pallokentat/?mid=5-5070,2026-05-13,LIPAS id 512095; type 1330; status active,fi-out-512095-suomusjarven-beachvolleykentta
FINLAND,Tervaniemen beachvolleykentät 2 kpl,,"Loimalahdentie 72, 13500",60.966492,24.381947,address,1,sand,,yes,public,city,617398,,2026-05-13,LIPAS id 617398; type 1330; status active,fi-out-617398-tervaniemen-beachvolleykentat-2-kpl
FINLAND,Teräsrautelan rantalentopallokenttä,,"Vanha kuninkojapolku 54, 20320",60.475092,22.235745,address,1,sand,,yes,public,city,509918,http://www.turku.fi/vapaa-aika/liikunta/ulkoliikunta/kentat/rantalentopallokentat,2026-05-13,LIPAS id 509918; type 1330; status active,fi-out-509918-terasrautelan-rantalentopallokentta
FINLAND,Tortinmäen rantalentopallokenttä,,"Järvijoentie, 21340",60.685131,22.439467,address,1,sand,,yes,public,city,509959,www.turku.fi/liikunta,2026-05-13,LIPAS id 509959; type 1330; status active,fi-out-509959-tortinmaen-rantalentopallokentta
FINLAND,Tupurin beachvolleykenttä,,"Taimistokatu 1, 24280",60.406006,23.173951,address,1,sand,,yes,school,city,604375,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-5198,2026-05-13,LIPAS id 604375; type 1330; status active,fi-out-604375-tupurin-beachvolleykentta
FINLAND,Uimalan beachvolleykenttä,,"Anaskintie, 71200",62.805914,28.480757,address,2,sand,,,public,city,"509738, 509737",http://www.tuusniemi.fi/,2026-05-13,"Merged 2 LIPAS entries (ids: 509738, 509737); LIPAS id 509738; type 1330; status active",fi-out-509738-509737-uimalan-beachvolleykentta
FINLAND,Ulkolentopallokenttä,,"Luovontie 61, 90480",65.009892,24.714701,address,1,,,,public,city,612797,,2026-05-13,LIPAS id 612797; type 1330; status active,fi-out-612797-ulkolentopallokentta
FINLAND,Varessäikän rantalentopallokenttä,,"Varessäikäntie 160, 92320",64.889348,24.810571,address,1,,,,public,city,611304,,2026-05-13,LIPAS id 611304; type 1330; status active,fi-out-611304-varessaikan-rantalentopallokentta
FINLAND,Villenjärven beachvolleykenttä,,"Rantatie 2, 85410",63.900311,24.498253,address,1,sand,yes,yes,public,city,511061,http://www.sievi.fi/,2026-05-13,LIPAS id 511061; type 1330; status active,fi-out-511061-villenjarven-beachvolleykentta
FINLAND,Yyterin lentopallokenttä,,"Yyteri, 28840",61.568405,21.517663,address,1,,,,public,city,605926,,2026-05-13,LIPAS id 605926; type 1330; status active,fi-out-605926-yyterin-lentopallokentta
