country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes
FINLAND,Beachvolleykenttä,Malax,"Paviljongvägen, 66100 Malax",62.975648,21.483462,address,,,,,public,city,600554,www.malax.fi,2026-05-09,LIPAS id 600554; type 1330; status active
FINLAND,Marttilan beachvolleykenttä,Marttila,"Metsäniityntie 11, 21490 Marttila",60.588545,22.888414,address,,sand,,yes,public,city,610390,www.marttila.fi,2026-05-09,LIPAS id 610390; type 1330; status active
FINLAND,Framnäsin urheilupuiston beachvolleykenttä,Masala,"Masalantie 258, 02430 Masala",60.155088,24.529456,address,1,sand,yes,yes,school,city,517816,http://www.kirkkonummi.fi/liikuntajaulkoilu/liikuntapaikat,2026-05-09,LIPAS id 517816; type 1330; status active
FINLAND,Isonkivenrannan beachvolleykenttä 1,Masku,"Ruskontie 43, 21250 Masku",60.548138,22.130863,address,,,,,public,city,609544,www.masku.fi,2026-05-09,LIPAS id 609544; type 1330; status active
FINLAND,Isonkivenrannan beachvolleykenttä 2,Masku,"Ruskontie 43, 21250 Masku",60.548138,22.130963,address,,,,,public,city,616943,www.masku.fi,2026-05-09,LIPAS id 616943; type 1330; status active
FINLAND,Paloasemantien beachvolleykenttä,Masku,"Paloasemantie, 21250 Masku",60.566443,22.093317,address,1,sand,,,public,city,515839,http://www.masku.fi/,2026-05-09,LIPAS id 515839; type 1330; status active
FINLAND,Mathildan Marinan beachvolleykenttä,Mathildedal,"Ruukinrannantie 4, 25660 Mathildedal",60.219858,22.901732,address,,,,,public,company-ltd,605866,https://kohteet.visitsalo.fi/mathildan-marina/,2026-05-09,LIPAS id 605866; type 1330; status active
FINLAND,Meijerin beach volleykenttä,Mellilä,"Sahantie 3, 32300 Mellilä",60.779724,22.927884,address,1,sand,,yes,public,city,617554,https://www.loimaa.fi/vapaa-aika/liikunta/liikuntapaikat/ulkoliikuntapaikat/beachvolley-ja-tenniskentat/,2026-05-09,LIPAS id 617554; type 1330; status active
FINLAND,Merrycampingin beachvolleykenttä,Merikarvia,"Palosaarentie 67, 29900 Merikarvia",61.848359,21.468424,address,1,sand,,yes,public,city,515816,https://merikarvia.fi/vapaa-aika-ja-hyvinvointi/ulkoilu/ulkoliikuntapaikat/,2026-05-09,LIPAS id 515816; type 1330; status active
FINLAND,Apajan beachvolleykenttä,Merimasku,"Apajantie, 21160 Merimasku",60.473766,21.900937,address,1,sand,,,public,city,102184,http://www.naantali.fi/,2026-05-09,LIPAS id 102184; type 1330; status active
FINLAND,Beachvolleykenttä,Merimasku,"Hellemaantie 2, 21160 Merimasku",60.461298,21.892331,address,,,,,public,city,609771,,2026-05-09,LIPAS id 609771; type 1330; status active
FINLAND,Tavastilan koulun beachvolleykenttä,Mietoinen,"Tavastilantie 1, 23120 Mietoinen",60.626203,21.929472,address,1,sand,,yes,school,city,521122,www.mynamaki.fi,2026-05-09,LIPAS id 521122; type 1330; status active
FINLAND,Kaihun beachvolleykenttä,Mikkeli,"Tuukkalankatu 2b, 50100 Mikkeli",61.673959,27.281210,address,1,sand,,,public,city,102143,http://www.mikkeli.fi/,2026-05-09,LIPAS id 102143; type 1330; status active
FINLAND,Launialan beachvolleykenttä,Mikkeli,"Saimaannorpankatu 10, 50190 Mikkeli",61.691478,27.321001,address,1,sand,,,school,city,102004,http://www.mikkeli.fi/,2026-05-09,LIPAS id 102004; type 1330; status active
FINLAND,Mikkelipuiston beachvolleykenttä,Mikkeli,"Pursialankatu 5, 50100 Mikkeli",61.676954,27.282430,address,,,,yes,public,registered-association,603167,,2026-05-09,LIPAS id 603167; type 1330; status active
FINLAND,Orijärven beachvolleykenttä,Mikkeli,"Karjalantie 10, 50600 Mikkeli",61.664664,27.207118,address,1,sand,,,public,city,102088,http://www.mikkeli.fi/,2026-05-09,LIPAS id 102088; type 1330; status active
FINLAND,Pankalan uimarannan beachvolleykenttä,Mikkeli,"Pankalamminkatu, 50100 Mikkeli",61.688648,27.253067,address,1,sand,,,public,city,515748,http://www.mikkeli.fi/,2026-05-09,LIPAS id 515748; type 1330; status active
